DIST;POWER;SWING
139.5;0.22;0
139.5;0.25;75
139.6;0.22;25
139.6;0.24;60
139.7;0.20;110
139.8;0.24;75
139.9;0.22;95
140.2;0.24;0
140.7;0.22;95
140.9;0.25;75
141.3;0.22;0
141.6;0.24;75
142;0.22;75
142.5;0.22;95
142.5;0.24;75
142.6;0.24;110
143.1;0.24;95
143.9;0.22;110
144.5;0.24;95
144.6;0.25;45
145;0.24;60
145;0.26;45
145.5;0.22;110
145.7;0.25;60
146;0.22;110
146.1;0.22;0
146.5;0.24;45
146.7;0.25;60
146.8;0.24;95
147.3;0.24;0
147.5;0.22;25
148;0.22;25
148;0.22;95
148;0.22;95
148;0.22;110
148;0.24;75
148.3;0.22;95
148.5;0.24;110
148.6;0.24;60
148.6;0.24;95
148.8;0.24;75
149.7;0.22;25
149.7;0.25;45
149.9;0.24;75
150.1;0.22;95
150.2;0.22;0
150.6;0.24;45
150.9;0.22;110
150.9;0.25;95
151;0.25;75
151.2;0.24;95
151.4;0.25;45
151.9;0.22;110
151.9;0.24;60
152;0.24;60
152;0.25;60
152;0.26;60
152.2;0.22;110
152.4;0.26;95
152.6;0.25;95
152.9;0.24;45
153.2;0.24;25
153.4;0.24;0
153.4;0.24;25
153.4;0.24;75
153.6;0.24;45
153.6;0.25;60
153.8;0.22;25
153.9;0.22;25
154.4;0.25;60
155;0.25;45
155;0.25;60
155;0.25;60
155.1;0.26;95
155.5;0.24;0
155.5;0.26;0
155.6;0.25;60
155.9;0.24;0
156.2;0.24;45
156.3;0.24;75
156.6;0.24;110
156.8;0.24;45
156.8;0.24;95
157;0.25;25
157;0.25;45
157.1;0.22;95
157.3;0.25;0
157.8;0.25;0
158.1;0.26;95
158.3;0.25;0
158.5;0.25;75
158.8;0.25;0
159;0.25;110
159.1;0.25;60
159.2;0.25;25
159.3;0.24;110
159.4;0.26;60
159.7;0.25;110
159.9;0.22;110
160;0.24;0
160;0.25;95
160.3;0.24;110
160.3;0.25;45
160.4;0.25;110
160.4;0.26;95
160.6;0.26;25
160.7;0.22;25
160.7;0.25;45
160.8;0.25;75
160.9;0.22;25
160.9;0.26;75
161.2;0.25;95
161.2;0.26;25
161.3;0.25;75
161.5;0.25;95
162.6;0.26;95
162.7;0.24;25
162.8;0.26;45
162.9;0.26;95
163;0.25;110
163.3;0.25;0
163.3;0.26;60
163.4;0.25;110
163.6;0.24;110
163.7;0.26;25
163.8;0.26;95
163.8;0.26;110
163.9;0.24;25
164;0.24;0
164;0.25;45
164.5;0.22;110
164.5;0.22;110
164.5;0.24;25
164.6;0.25;95
165.4;0.25;75
165.5;0.26;95
165.7;0.25;0
165.8;0.24;25
165.9;0.25;75
166;0.25;95
166.1;0.22;25
166.3;0.25;95
166.5;0.26;110
166.6;0.25;75
166.6;0.26;75
166.8;0.24;25
167;0.25;60
167.4;0.22;25
167.4;0.24;110
167.5;0.24;95
167.5;0.25;25
