0,0
-3,0
-6,-6
-9,-9
-12,-9
-15,-12
-18,-15
-21,-18
-24,-24
-27,-24
-30,-27
-33,-30
-36,-33
-39,-36
-42,-39
-45,-42
-48,-45
-51,-48
-54,-51
-57,-54
-60,-54
-63,-57
-66,-60
-69,-66
-72,-69
-75,-69
-78,-75
-81,-75
-84,-78
-87,-84
-90,-84
-93,-87
-96,-90
-99,-93
-102,-99
-105,-99
-108,-102
-111,-105
-114,-108
-117,-114
-120,-114
-123,-117
-126,-120
-129,-126
-132,-129
-135,-129
-138,-132
-141,-138
-144,-138
-147,-144
-150,-144
-153,-147
-156,-153
-159,-156
-162,-159
-165,-162
-168,-165
-171,-168
-174,-168
-177,-171
