0,0
-1,0
-2,0
-3,-3
-4,-3
-5,-3
-6,-3
-7,-3
-8,-3
-9,-9
-10,-9
-11,-9
-12,-9
-13,-9
-14,-9
-15,-15
-16,-15
-17,-15
-18,-18
-19,-18
-20,-18
-21,-18
-22,-18
-23,-18
-24,-24
-25,-24
-26,-24
-27,-27
-28,-27
-29,-27
-30,-27
-31,-27
-32,-27
-33,-33
-34,-33
-35,-33
-36,-33
-37,-33
-38,-33
-39,-39
-40,-39
-41,-39
-42,-39
-43,-39
-44,-39
-45,-45
-46,-45
-47,-45
-48,-48
-49,-48
-50,-48
-51,-48
-52,-48
-53,-48
-54,-54
-55,-54
-56,-54
-57,-54
-58,-54
-59,-54
-60,-57
-61,-57
-62,-57
-63,-60
-64,-60
-65,-60
-66,-63
-67,-63
-68,-63
-69,-69
-70,-69
-71,-69
-72,-69
-73,-69
-74,-69
-75,-72
-76,-72
-77,-72
-78,-75
-79,-75
-80,-75
-81,-78
-82,-78
-83,-78
-84,-81
-85,-81
-86,-81
-87,-84
-88,-84
-89,-84
-90,-84
-91,-84
-92,-84
-93,-90
-94,-90
-95,-90
-96,-93
-97,-93
-98,-93
-99,-96
-100,-96
-101,-96
-102,-99
-103,-99
-104,-99
-105,-99
-106,-99
-107,-99
-108,-102
-109,-102
-110,-102
-111,-108
-112,-108
-113,-108
-114,-111
-115,-111
-116,-111
-117,-114
-118,-114
-119,-114
-120,-117
-121,-117
-122,-117
-123,-120
-124,-120
-125,-120
-126,-123
-127,-123
-128,-123
-129,-123
-130,-126
-131,-126
-132,-129
-133,-129
-134,-129
-135,-129
-136,-129
-137,-129
-138,-135
-139,-135
-140,-135
-141,-138
-142,-138
-143,-138
-144,-141
-145,-141
-146,-141
-147,-144
-148,-144
-149,-144
-150,-147
-151,-147
-152,-147
-153,-150
-154,-150
-155,-150
-156,-153
-157,-153
-158,-153
-159,-159
-160,-159
-161,-159
-162,-159
-163,-159
-164,-159
-165,-165
-166,-165
-167,-162
-168,-165
-169,-165
-170,-165
-171,-171
-172,-171
-173,-171
-174,-171
-175,-171
-176,-171
-177,-174
-178,-174
-179,-174
